executorCores,executorMemory,executorInstances,defaultParallelism,memoryOffHeapEnabled,memoryOffHeapSize,memoryFraction,memoryStorageFraction,shuffleFileBuffer,speculation,reducerMaxSizeInFlight,shuffleSortBypassMerageThreshold,speculationInterval,speculationMultiplier,speculationQuantile,broadcastBlockSize,ioCompressionCodec,ioCompressionLz4BlockSize,ioCompressionSnappyBlockSize,kryoRederenceTracking,kryoserializerBufferMax,kryoserializerBuffer,storageMemoryMapThreshold,networkTimeout,localityWait,shuffleCompress,shuffleSpillCompress,broadcastCompress,rddCompress,serializer,PERF
11,42336,27,28,false,67,0.9390674014352858,0.9877510888947282,49,true,76,792,44,1.4440165512469076,0.14418672384499195,104,lz4,91,111,false,114,56,425,106,5,false,false,true,true,org.apache.spark.serializer.JavaSerializer,44.567
4,36565,11,45,true,84,0.8280504162918966,0.721401540050418,99,false,82,722,49,1.6105067637510828,0.8102122024684929,10,lz4,79,58,false,30,74,428,346,6,true,false,false,true,org.apache.spark.serializer.JavaSerializer,48.092
9,29793,36,35,true,73,0.7839167879375684,0.6666886311592098,96,true,48,426,18,4.166480018369953,0.7210055258510047,88,lz4,83,34,false,82,87,94,205,5,false,true,false,true,org.apache.spark.serializer.KryoSerializer,44.102
4,38392,23,48,true,68,0.6252274933378776,0.6191291970197181,7,true,49,450,24,3.9788385220190343,0.9497998555572015,46,lz4,74,127,true,22,85,240,460,7,true,false,false,false,org.apache.spark.serializer.JavaSerializer,43.514
1,25600,8,8,false,10,0.6,0.935791015625,32,false,48,200,100,4.021484375,0.75,4,lz4,64,32,true,16,64,50,479,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,72.952
3,30251,21,18,false,38,0.870262043073665,0.601640771919952,11,false,101,492,63,3.265915563816374,0.218469763758875,33,lzf,80,115,true,113,51,428,331,5,false,true,false,true,org.apache.spark.serializer.KryoSerializer,41.473
3,34783,39,12,false,71,0.9804452313023004,0.9306198803773459,95,true,78,695,90,1.7139026760825837,0.16579975246588152,50,lz4,100,13,true,37,34,168,365,2,true,true,true,true,org.apache.spark.serializer.KryoSerializer,44.968
10,42790,32,49,false,95,0.8572945528803044,0.9111040436724489,3,true,68,633,30,1.1749055895762752,0.36299688987088485,90,lz4,120,49,false,114,33,217,375,5,false,false,false,true,org.apache.spark.serializer.JavaSerializer,42.324
14,31925,9,39,false,99,0.6790332672908183,0.816512092765573,41,true,33,713,32,1.6637147346521408,0.8639942965370863,46,lz4,113,35,false,47,35,444,499,7,false,false,true,true,org.apache.spark.serializer.JavaSerializer,41.907
3,35026,14,22,false,49,0.9825672488246541,0.9415865802682815,121,false,114,768,46,1.595196913111659,0.5226808432791888,97,lz4,95,119,false,85,66,308,128,5,true,true,true,true,org.apache.spark.serializer.KryoSerializer,42.987
12,32515,11,44,true,85,0.8885099827137379,0.7234455379940097,66,false,110,517,37,1.281429006786508,0.2373249784251022,51,lzf,88,20,true,86,61,316,38,3,false,false,true,true,org.apache.spark.serializer.JavaSerializer,41.048
10,25600,8,8,false,10,0.6,0.935699462890625,32,false,48,200,100,3.906982421875,0.75,51,lz4,127,32,true,64,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,43.111
10,34617,48,38,true,66,0.6058382877271322,0.915033983595228,34,false,128,474,67,1.278979939821403,0.17654445580803108,88,lzf,95,50,true,29,72,205,62,6,false,true,false,true,org.apache.spark.serializer.JavaSerializer,48.668
4,37596,37,34,false,49,0.7296047941317984,0.7894699516701377,121,true,79,495,44,1.6851019823637319,0.6603464089623371,89,lzf,114,81,false,68,41,52,353,2,true,true,false,true,org.apache.spark.serializer.KryoSerializer,42.693
5,39494,37,16,true,38,0.695938806695104,0.971661134456466,40,true,100,764,11,1.1327426465027362,0.8920978465613079,106,lz4,88,15,false,120,124,373,247,2,true,true,false,true,org.apache.spark.serializer.JavaSerializer,41.099
9,41524,31,17,false,54,0.693146484527228,0.8374174850894409,39,true,82,505,61,1.3064995028531994,0.7661745657183853,100,lzf,101,72,false,72,126,240,394,8,false,true,true,false,org.apache.spark.serializer.KryoSerializer,42.729
14,43507,31,45,false,80,0.8194499001520533,0.7096731961893801,69,false,98,305,50,1.480048033783725,0.23011179992280367,45,lz4,85,128,false,74,19,323,68,6,false,true,false,false,org.apache.spark.serializer.JavaSerializer,43.515
15,36250,30,35,true,28,0.6862489178361076,0.9527895791820089,60,true,105,718,89,1.5784146073068788,0.6402212638223749,46,lz4,96,50,true,102,113,323,351,7,false,false,false,false,org.apache.spark.serializer.JavaSerializer,43.377
7,27609,24,47,true,19,0.6365104341160682,0.8293837346106694,48,false,76,480,66,1.4954164834287573,0.8809645948727193,43,lz4,75,13,false,59,62,440,36,4,false,true,true,false,org.apache.spark.serializer.JavaSerializer,43.179
11,32147,17,40,true,19,0.917391148527356,0.6894934333941679,15,true,114,531,13,2.160588585395045,0.5771421664618971,101,lz4,91,68,true,64,54,188,23,10,false,true,false,false,org.apache.spark.serializer.KryoSerializer,42.793
3,37385,36,29,true,48,0.7867910785046449,0.6563521944367448,17,true,128,273,83,4.02435834044799,0.15809283486891998,73,lzf,102,99,false,52,102,151,353,6,false,false,false,false,org.apache.spark.serializer.KryoSerializer,67.398
16,30611,15,40,true,77,0.925504901658387,0.9420035544829226,102,false,32,314,65,1.7355903079077186,0.13014121245754287,56,lz4,89,93,false,127,4,119,260,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,41.77
4,26336,21,43,true,30,0.7223320626893976,0.7587176911996739,16,false,106,239,60,3.427698389487623,0.5549866958363229,62,lzf,68,107,false,28,79,487,449,8,false,false,true,false,org.apache.spark.serializer.JavaSerializer,43.406
8,43162,9,20,true,11,0.927782968175255,0.6609133320297694,50,false,100,920,33,1.2511396612151766,0.6436858373550215,104,lzf,119,72,true,63,19,62,97,5,false,true,false,true,org.apache.spark.serializer.JavaSerializer,43.428
11,26985,13,30,true,78,0.920341362872068,0.9221650686436249,61,false,124,817,16,1.414822126187298,0.1801583317466754,103,lzf,126,43,false,126,45,194,131,9,true,true,true,true,org.apache.spark.serializer.JavaSerializer,40.146
5,25600,8,8,false,10,0.6,0.941375732421875,32,false,48,923,100,3.593505859375,0.75,63,lz4,64,32,true,64,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,44.166
3,25600,8,8,false,10,0.6,0.5,32,false,7,332,100,2.603271484375,0.75,16,lz4,64,32,true,64,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,47.514
13,43746,34,47,false,89,0.9701485979761297,0.9822839061926042,106,true,99,787,92,1.5319810666347822,0.9628781489397537,42,lzf,91,120,true,128,116,78,294,5,false,false,true,true,org.apache.spark.serializer.JavaSerializer,43.229
15,25600,8,8,false,10,0.6,0.5,32,false,127,952,100,3.54052734375,0.75,102,lz4,64,32,true,64,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,42.132
1,25600,8,8,false,10,0.6,0.5,32,false,115,200,100,3.4140625,0.75,12,lz4,64,32,true,59,64,50,120,3,true,true,true,false,org.apache.spark.serializer.JavaSerializer,64.897
